;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
32;Aerocube 5C;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;1.5;;2015;;Aerospace Corporation;USA;Atlas 5;Demonstrate tracking technologies, optical communications and laser communication.;USA;USA;USA;increase_mission_performance_and_technology
33;Aerocube 6A;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;5.0;;2014;3.0;Aerospace Corporation;USA;Dnepr;Technology development for cubesat constellation.;USA;USA;ROW;increase_mission_performance_and_technology
34;Aerocube 6B;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;5.0;;2014;3.0;Aerospace Corporation;USA;Dnepr;Technology development for cubesat constellation.;USA;USA;ROW;increase_mission_performance_and_technology
35;Aerocube 7A;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;2.0;;2015;;Aerospace Corporation;USA;Atlas 5;;USA;USA;USA;increase_mission_performance_and_technology
36;Aerocube 7B;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;2.0;;2017;;Aerospace Corporation;USA;Antares 230;;USA;USA;USA;increase_mission_performance_and_technology
37;Aerocube 7C;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;2.0;;2017;;Aerospace Corporation;USA;Antares 230;;USA;USA;USA;increase_mission_performance_and_technology
38;Aerocube 8A;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;5.0;;2015;;Aerospace Corporation;USA;Atlas 5;;USA;USA;USA;increase_mission_performance_and_technology
39;Aerocube 8B;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;5.0;;2015;;Aerospace Corporation;USA;Atlas 5;;USA;USA;USA;increase_mission_performance_and_technology
40;Aerocube 8C;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;5.0;;2016;;Aerospace Corporation;USA;Atlas 5;;USA;USA;USA;increase_mission_performance_and_technology
41;Aerocube 8D;USA;Aerospace Corporation;Commercial;Technology Development;;LEO;2.0;;2016;;Aerospace Corporation;USA;Atlas 5;;USA;USA;USA;increase_mission_performance_and_technology
42;Eutelsat 48D;Multinational;EUTELSAT S.A.;Commercial;Communications;;GEO;3460.0;1555;2008;15.0;EADS Astrium;France;Ariane 5;30 Ku-band transponders.;Int_coop;EU;EU;communication_and_positionning
43;AIM;USA;Center for Atmospheric Sciences, Hampton University/NASA;Government;Earth Observation;Earth Science;LEO;215.0;197;2007;2.0;Orbital Sciences Corp.;USA;Pegasus XL;Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.;USA;USA;USA;earth_observation_and_surveillance
44;AISat-1;Germany;German Aerospace Center (DLR);Government;Communications;Automatic Identification System (AIS);LEO;14.0;;2014;;German Aerospace Center (DLR);Germany;PSLV-CA;Satellite equipped with AIS tracking.;EU;EU;USA;communication_and_positionning
45;AISSat-1;Norway;Norwegian Coastal Admnistration;Government;Communications;Automatic Identification System (AIS);LEO;6.0;;2010;3.0;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Canada;PSLV;"Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.";EU;ROW;India;communication_and_positionning
46;AISSat-2;Norway;Norwegian Coastal Admnistration;Government;Communications;Automatic Identification System (AIS);LEO;6.0;;2014;3.0;Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies;Norway/Canada;Soyuz-2.1b;Second in the series.;EU;ROW;Russia;communication_and_positionning
47;AIST-1;Russia;Samara State Aerospace University, SGAU;Commercial/Civil;Technology Development;;LEO;;;2013;;TsSKB Progress;Russia;Soyuz 2,1v;Designed to measure the Earth’s geomagnetic field and test out a new satellite design.;Russia;Russia;Russia;increase_mission_performance_and_technology
48;AIST-2;Russia;Samara State Aerospace University, SGAU;Commercial/Civil;Technology Development;;LEO;53.0;;2013;3.0;Samara State Aerospace University, SGAU;Russia;Soyuz 2.1a;Designed to measure the Earth’s geomagnetic field and test out a new satellite design.;Russia;Russia;Russia;increase_mission_performance_and_technology
49;AIST-2D;Russia;Samara State Aerospace University, SGAU;Commercial/Civil;Technology Development;;LEO;531.0;;2016;;Samara State Aerospace University/TsSKB Progress;Russia;Soyuz 2.1a;Aist 2D also carries an innovative radar operating in P-band, a wavelength that penetrates through forest canopies and Earth’s surface to study underground structures.;Russia;Russia;Russia;increase_mission_performance_and_technology
50;AISTechSat-2;Spain;AISTech;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;2.6;;2018;;GomSpace ApS;Denmark;Falcon 9;First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.;EU;EU;USA;earth_observation_and_surveillance
51;AISTechSat-3;Spain;AISTech;Commercial;Earth Observation;Automatic Identification System (AIS);LEO;2.3;;2019;;GomSpace ApS;Denmark;PSLV;Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.;EU;EU;India;earth_observation_and_surveillance
52;Al Yah-3;United Arab Emirates;Al Yah Satellite Communications Co. (YAHSAT);Commercial;Communications;;GEO;3795.0;;2018;15.0;Orbital ATK;USA;Ariane 5;Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well.;ROW;USA;EU;communication_and_positionning
53;Alcomsat;Algeria;Algerian Space Agency (ASAL);Government;Communications;;GEO;5225.0;;2017;15.0;China Academy of Space Technology (CAST);China;Long March 3B;Algeria's first communications satellite.;ROW;China;China;communication_and_positionning
54;ALE-2;Japan;Astro Live Experiences;Commercial;Earth Science;;LEO;75.0;;2019;;Astro Live Experiences;Japan;Electron;Planned display of colorful meteor-like lights for Tokyo Summer Olympics.;Japan;Japan;USA;earth_observation_and_surveillance
55;Al-Farabi-2;Kazakhstan;Al-Farabi Kazakh National University;Civil;Technology Development;;LEO;4.0;;2018;;Al-Farabi Kazakh National University;Kazakhstan;Falcon 9;Technology demonstration mission.;ROW;ROW;USA;increase_mission_performance_and_technology
56;ALiCE;USA;US Air Force Institute of Technology;Military;Technology Development;;LEO;5.0;;2013;;US Air Force Institute of Technology;USA;Atlas 5;Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.;USA;USA;USA;increase_mission_performance_and_technology
57;Alsat-2B;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation;Optical Imaging;LEO;117.0;;2016;5.0;Airbus Defense and Space;France/UK/Germany/Spain;PSLV;Surveillance.;ROW;ROW;India;earth_observation_and_surveillance
58;Alsat-1B;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation;Optical Imaging;LEO;103.0;;2016;5.0;Surrey Satellite Technology Ltd.;UK;PSLV;Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,;ROW;ROW;India;earth_observation_and_surveillance
59;AlSat-1N;Algeria;Algerian Space Agency (ASAL)/UK Space Agency;Government;Technology Development;;LEO;10.0;;2016;;Surrey Satellite Technology Ltd.;UK;PSLV;Technology demonstration satellite for Algerian students.;ROW;ROW;India;increase_mission_performance_and_technology
60;Alsat-2A;Algeria;Algerian Space Agency (ASAL);Government;Earth Observation;Optical Imaging;LEO;130.0;;2010;5.0;EADS Astrium;France/UK/Germany/Spain;PSLV;The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning.;ROW;ROW;India;earth_observation_and_surveillance
61;Amazonas-2;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;5465.0;;2009;15.0;EADS Astrium;France/UK/Germany/Spain;Ariane 5;"54 Ku-band, 10 C-band transponders; North, Central and South America.";EU;ROW;EU;communication_and_positionning
62;Amazonas-3;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;6265.0;2778;2013;15.0;Space Systems/Loral;USA;Ariane 5 ECA;;EU;USA;EU;communication_and_positionning
63;Amazonas-4A;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;2938.0;;2014;15.0;Orbital Sciences Corp.;USA;Ariane 5 ECA;"Suffered a power malfunction shortly after entering orbit; will affect capacity.";EU;USA;EU;communication_and_positionning
64;Amazonas-5;Spain;Hispamar (subsidiary of Hispasat - Spain);Commercial;Communications;;GEO;5900.0;;2017;15.0;Space Systems/Loral;USA;Proton;34 Ka-band, 24 Ku-band;EU;USA;Russia;communication_and_positionning
66;AMC-11;USA;SES S.A.;Commercial;Communications;;GEO;2340.0;2316;2004;15.0;Lockheed Martin;USA;Atlas 2AS;24 C-band transponders.;USA;USA;USA;communication_and_positionning
67;AMC-15;USA;SES S.A.;Commercial;Communications;;GEO;4200.0;;2004;15.0;Lockheed Martin;USA;Proton M;"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.";USA;USA;Russia;communication_and_positionning
68;AMC-16;USA;SES S.A.;Commercial;Communications;;GEO;4312.0;;2004;15.0;Lockheed Martin Commercial Space Systems;USA;Atlas 5;"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii.";USA;USA;USA;communication_and_positionning
69;AMC-18;USA;SES S.A.;Commercial;Communications;;GEO;2081.0;918;2006;15.0;Lockheed Martin Missiles & Space;USA;Ariane 5;All c-band transponders for North American coverage.;USA;USA;EU;communication_and_positionning
71;AMC-21;USA;SES S.A.;Commercial;Communications;;GEO;2500.0;;2008;15.0;Orbital Sciences Corp.;USA;Ariane 5 ECA;Television services to the US, Canada, Mexico and Caribbean.;USA;USA;EU;communication_and_positionning
73;AMC-6;USA;SES S.A.;Commercial;Communications;;GEO;3901.0;2500;2000;15.0;Lockheed Martin Commercial Space Systems;USA;Proton K;"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America";USA;USA;Russia;communication_and_positionning
74;AMC-8;USA;SES S.A.;Commercial;Communications;;GEO;2015.0;919;2000;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5G;"Cable television and radio programming; 24 C-band; CONUS, Alaska, Hawaii, Caribbean";USA;USA;EU;communication_and_positionning
75;AmGU-1;Russia;Moscow State University;Civil;Space Science;;LEO;4.0;;2019;;Moscow State University;Russia;Soyuz 2.1b;Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.;Russia;Russia;Russia;space_science
76;Amos 17;Israel;Space-Communication Ltd.;Military/Commercial;Communications;;GEO;6500.0;;2019;20.0;Boeing Satellite Systems;USA;Falcon 9;Replaces Amos 5 which failed in 2015.;ROW;USA;USA;communication_and_positionning
77;Amos 3;Israel;Space-Communication Ltd.;Military/Commercial;Communications;;GEO;;;2008;12.0;Israel Aircraft Industries (IAI);Israel;Zenit 3SLB;15 transponders, Ku and Ka bands.;ROW;ROW;ROW;communication_and_positionning
78;Amos 4;Israel;Space-Communication Ltd.;Military/Commercial;Communications;;GEO;;;2013;12.0;Israel Aircraft Industries (IAI);Israel;Zenit 2SB;Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well.;ROW;ROW;ROW;communication_and_positionning
80;ANASIS-II;South Korea;Agency for Defense Development;Military;Communications;;GEO;;;2020;15.0;Airbus Defense and Space;France/UK/Germany/Spain;Falcon 9;First South Korean military satellite.;ROW;ROW;USA;communication_and_positionning
81;ANDESITE Mule;USA;ANDESITE - Boston University;Civil;Space Science/Technology Demonstration;;LEO;9.0;;2020;;Boston University;USA;Electron;Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.;USA;USA;USA;space_science
82;ANGELS;ESA;Centre National d'Etudes Spatiales (CNES);Government;Communications;;LEO;18.0;;2019;;CNES ;ESA;Soyuz;Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. ;EU;EU;Russia;communication_and_positionning
83;Anik F1;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4710.0;2950;2000;15.0;Boeing Satellite Systems;USA;Ariane 44L;;ROW;USA;EU;communication_and_positionning
84;Anik F1R;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4500.0;;2005;15.0;EADS Astrium;France/UK/Germany/Spain;Proton M;;ROW;ROW;Russia;communication_and_positionning
85;Anik F2;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;5910.0;3805;2004;15.0;Boeing Satellite Systems;USA;Ariane 5;24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada;ROW;USA;EU;communication_and_positionning
86;Anik F3;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4715.0;;2007;15.0;EADS Astrium;France/UK/Germany/Spain;Proton M;"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.";ROW;ROW;Russia;communication_and_positionning
87;Anik G1;Canada;Telesat Canada Ltd. (BCE, Inc.);Commercial;Communications;;GEO;4905.0;;2013;15.0;Space Systems/Loral;USA;Proton M;16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.;ROW;USA;Russia;communication_and_positionning
88;Aoba-VELOX 4;Japan;Kyushu Institute of Technology (KIT);Civil;Technology Development;;LEO;3.0;;2019;;Kyushu Institute of Technology;Japan;Epsilon;Will demonstrate an attitude control and orbital control system, and a low-light camera, for lunar observations.;Japan;Japan;Japan;increase_mission_performance_and_technology
89;AprizeSat 1;Argentina;Aprize Satellite Argentina;Commercial;Communications/Technology Development;;LEO;12.0;12;2004;;Aprize Satellite ;Argentina;Dnepr;Messaging services.;ROW;ROW;ROW;communication_and_positionning
90;AprizeSat 10;USA/Argentina;Aprize Satellite;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;12.0;12;2014;;SpaceQuest;USA;Dnepr;Will provide tracking and data monitoring services for companies with remote or mobile assets.;Int_coop;USA;ROW;communication_and_positionning
91;AprizeSat 2;Argentina;Aprize Satellite Argentina;Commercial;Communications/Technology Development;;LEO;12.0;12;2004;;Aprize Satellite ;Argentina;Dnepr;Messaging services.;ROW;ROW;ROW;communication_and_positionning
92;AprizeSat 3;USA/Argentina;Aprize Satellite;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;12.0;12;2009;;SpaceQuest;USA;Dnepr;Will provide tracking and data monitoring services for companies with remote or mobile assets.;Int_coop;USA;ROW;communication_and_positionning
93;AprizeSat 4;USA/Argentina;Aprize Satellite;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;12.0;12;2009;;SpaceQuest;USA;Dnepr;Will provide tracking and data monitoring services for companies with remote or mobile assets.;Int_coop;USA;ROW;communication_and_positionning
94;AprizeSat 5;Canada;Aprize Satellite;Commercial;Communications;Automatic Identification System (AIS);LEO;12.0;12;2011;;SpaceQuest;USA;Dnepr;Continuation of constellation.;ROW;USA;ROW;communication_and_positionning
95;AprizeSat 7;Canada;Aprize Satellite;Commercial;Communications;Automatic Identification System (AIS);LEO;12.0;12;2013;;SpaceQuest;USA;Dnepr;Continuation of constellation.;ROW;USA;ROW;communication_and_positionning
96;AprizeSat 8;USA/Argentina;Aprize Satellite;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;12.0;12;2013;;SpaceQuest;USA;Dnepr;Continuation of constellation.;Int_coop;USA;ROW;communication_and_positionning
97;AprizeSat 9;Canada;exactEarth;Commercial;Communications/Maritime Tracking;Automatic Identification System (AIS);LEO;12.0;12;2014;;SpaceQuest;USA;Dnepr;Will provide tracking and data monitoring services for companies with remote or mobile assets.;ROW;USA;ROW;communication_and_positionning
98;Apstar 6;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;4680.0;;2005;;Alcatel Space Industries;France/Italy;Long March 3B;Partial power failure in 2018. Apstar 6C has taken over its position.;China;EU;China;communication_and_positionning
99;Apstar 6C;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;;;2018;15.0;China Academy of Space Technology (CAST);China;Long March 3B;45 C-band, Ku-band and Ka-band transponders, Apstar 6C’s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east.;China;China;China;communication_and_positionning
100;Apstar 6D;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;5550.0;;2020;15.0;China Academy of Space Technology (CAST);China;Long March 3B;Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission.;China;China;China;communication_and_positionning
101;Apstar 7;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;5054.0;;2012;15.0;Thales Alenia Space;France/Italy;Long March 3B;Replacement for Apstar 2R.;China;EU;China;communication_and_positionning
102;Apstar 9;China;APT Satellite Holdings Ltd.;Commercial;Communications;;GEO;5200.0;;2015;15.0;China Academy of Space Technology (CAST);China;Long March 3B;Replacement for Apstar 9A.;China;China;China;communication_and_positionning
103;Arabsat 5C;Multinational;Arab Satellite Communications Org. (ASCO);Government;Communications;;GEO;4630.0;;2011;15.0;Astrium/Thales Alenia Space;France;Ariane 5 ECA;26 active C-band transponders, 12 active Ka-band transponders;Int_coop;EU;EU;communication_and_positionning
104;Arabsat 6A;Multinational;Arab Satellite Communications Org. (ASCO);Commercial;Communications;;GEO;6465.0;;2019;15.0;Lockheed Martin;USA;Falcon Heavy;;Int_coop;USA;USA;communication_and_positionning
106;Arkyd-6A;USA;Planetary Resources;Commercial;Technology Development;;LEO;10.0;;2018;;Planetary Resources;USA;PSLV;;USA;USA;India;increase_mission_performance_and_technology
107;ARMADILLO;USA;Satellite Design Laboratory UT Austin/Baylor University;Civil;Technology Development;;Elliptical;4.0;;2019;;UT Austin/Baylor University;USA;Falcon Heavy;See link;USA;USA;USA;increase_mission_performance_and_technology
108;ArSat 1;Argentina;ArSat;Commercial;Communications;;GEO;3000.0;;2014;15.0;INVAP S.E.;Argentina;Ariane 5 ECA;First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay.;ROW;ROW;EU;communication_and_positionning
109;ArSat 2;Argentina;ArSat;Commercial;Communications;;GEO;2977.0;;2015;15.0;INVAP S.E.;Argentina;Ariane 5 ECA;;ROW;ROW;EU;communication_and_positionning
111;AsiaSat-5;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;3760.0;;2009;15.0;Space Systems/Loral;USA;Breeze M;14 Ku-Band, 26 C-band, serving all of Asia.;China;USA;Russia;communication_and_positionning
112;AsiaSat-6;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;3700.0;;2014;15.0;Space Systems/Loral;USA;Falcon 9;14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.;China;USA;USA;communication_and_positionning
113;AsiaSat-7;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;3813.0;;2011;15.0;Space Systems/Loral;USA;Proton M;28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S.;China;USA;Russia;communication_and_positionning
114;AsiaSat-8;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;4500.0;;2014;15.0;Space Systems/Loral;USA;Falcon 9;24 Ku-band transponders.;China;USA;USA;communication_and_positionning
115;AsiaSat-9;China;Asia Satellite Telecommunications Co. Ltd.;Commercial;Communications;;GEO;6140.0;;2017;15.0;Space Systems/Loral;USA;Proton;38 Ku-band, 28 C-band transponders. ;China;USA;Russia;communication_and_positionning
116;AsiaStar;USA;1Worldspace;Commercial;Communications;;GEO;2775.0;1530;2000;15.0;Alcatel Space Industries;France;Ariane 5G;"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers.";USA;EU;EU;communication_and_positionning
117;ASNARO-1;Japan;Japan Space Systems;Government;Earth Observation;Optical Imaging;LEO;500.0;;2014;3.0;NEC Corporation;Japan;Dnepr;Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).;Japan;Japan;ROW;earth_observation_and_surveillance
118;ASNARO-2;Japan;Japan Space Systems;Government;Earth Observation;Radar Imaging;LEO;570.0;;2018;3.0;NEC Corporation;Japan;Epsilon;X-band radar.;Japan;Japan;Japan;earth_observation_and_surveillance
122;Astra 1KR;Luxembourg;SES S.A.;Commercial;Communications;;GEO;4332.0;;2006;15.0;Lockheed Martin Commercial Space Systems;USA;Atlas 5;"32 Ku-band transponders; direct-to-home broadcast services across Europe.";EU;USA;USA;communication_and_positionning
123;Astra 1L;Luxembourg;SES S.A.;Commercial;Communications;;GEO;4500.0;;2007;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5 ECA;"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter.";EU;USA;EU;communication_and_positionning
124;Astra 1M;Luxembourg;SES S.A.;Commercial;Communications;;GEO;5345.0;;2008;15.0;EADS Astrium;France;Proton M;Direct-to-home and HD television.;EU;EU;Russia;communication_and_positionning
